Treatment,AGB11,AGB14,Dyr,X,Y
1_old_growth,132.45930480957,114.596061706543,-5.95441436767578,223528.659349372,9753370.02532787
1_old_growth,134.009674072266,130.131698608398,-1.29265848795573,223628.659349372,9753370.02532787
1_old_growth,129.651168823242,150.839111328125,7.0626475016276,223728.659349372,9753370.02532787
1_old_growth,150.087188720703,152.917037963867,0.943283081054688,223828.659349372,9753370.02532787
1_old_growth,110.406440734863,124.971542358398,4.85503387451172,223928.659349372,9753370.02532787
1_old_growth,121.422225952148,105.477127075195,-5.31503295898438,224028.659349372,9753370.02532787
1_old_growth,169.567199707031,52.4670372009277,-39.0333875020345,224128.659349372,9753370.02532787
1_old_growth,179.789505004883,123.511344909668,-18.7593866984049,224228.659349372,9753370.02532787
1_old_growth,159.739135742188,133.591934204102,-8.71573384602865,224328.659349372,9753370.02532787
1_old_growth,149.456405639648,138.058074951172,-3.79944356282552,224428.659349372,9753370.02532787
1_old_growth,162.70442199707,126.205230712891,-12.1663970947266,224528.659349372,9753370.02532787
1_old_growth,161.198425292969,172.679656982422,3.82707722981771,224628.659349372,9753370.02532787
1_old_growth,132.561660766602,126.365737915039,-2.0653076171875,224728.659349372,9753370.02532787
1_old_growth,136.914947509766,126.044281005859,-3.62355550130208,224828.659349372,9753370.02532787
1_old_growth,136.941925048828,38.839958190918,-32.7006556193034,224928.659349372,9753370.02532787
1_old_growth,164.648986816406,175.071838378906,3.47428385416667,225028.659349372,9753370.02532787
1_old_growth,154.526763916016,163.434753417969,2.96932983398438,225128.659349372,9753370.02532787
1_old_growth,164.69938659668,191.224014282227,8.84154256184896,225228.659349372,9753370.02532787
1_old_growth,71.1794357299805,67.0618057250977,-1.37254333496094,227228.659349372,9753370.02532787
1_old_growth,84.6902008056641,107.749015808105,7.68627166748047,227328.659349372,9753370.02532787
1_old_growth,183.32682800293,113.538604736328,-23.2627410888672,227428.659349372,9753370.02532787
3_illegal_logging,165.967086791992,158.485595703125,-2.49383036295573,227528.659349372,9753370.02532787
1_old_growth,187.739868164062,154.253051757812,-11.1622721354167,227628.659349372,9753370.02532787
1_old_growth,176.198638916016,140.738296508789,-11.8201141357422,227728.659349372,9753370.02532787
3_illegal_logging,159.867568969727,170.222778320312,3.45173645019531,227828.659349372,9753370.02532787
3_illegal_logging,205.402404785156,113.351501464844,-30.6836344401042,227928.659349372,9753370.02532787
1_old_growth,236.938323974609,114.467292785645,-40.8236770629883,228028.659349372,9753370.02532787
1_old_growth,262.089691162109,102.493049621582,-53.1988805135091,228128.659349372,9753370.02532787
3_illegal_logging,171.33757019043,134.333358764648,-12.3347371419271,228228.659349372,9753370.02532787
3_illegal_logging,161.150451660156,125.549713134766,-11.8669128417969,228328.659349372,9753370.02532787
1_old_growth,122.781875610352,133.06266784668,3.42693074544271,228428.659349372,9753370.02532787
1_old_growth,251.824310302734,166.282012939453,-28.5140991210938,228528.659349372,9753370.02532787
1_old_growth,260.055725097656,138.862548828125,-40.3977254231771,228628.659349372,9753370.02532787
3_illegal_logging,169.447937011719,161.73762512207,-2.57010396321615,228728.659349372,9753370.02532787
1_old_growth,185.86164855957,170.467086791992,-5.13152058919271,228828.659349372,9753370.02532787
1_old_growth,160.979080200195,107.972274780273,-17.668935139974,228928.659349372,9753370.02532787
1_old_growth,173.610290527344,84.5912857055664,-29.6730016072591,229028.659349372,9753370.02532787
1_old_growth,219.025009155273,170.311660766602,-16.237782796224,229128.659349372,9753370.02532787
3_illegal_logging,221.594757080078,127.750839233398,-31.2813059488932,229228.659349372,9753370.02532787
3_illegal_logging,194.626541137695,125.519874572754,-23.0355555216471,229328.659349372,9753370.02532787
3_illegal_logging,211.176605224609,104.998931884766,-35.3925577799479,229428.659349372,9753370.02532787
3_illegal_logging,259.236877441406,151.482437133789,-35.9181467692057,229528.659349372,9753370.02532787
1_old_growth,167.525390625,144.115921020508,-7.80315653483073,229628.659349372,9753370.02532787
1_old_growth,155.206604003906,92.0266876220703,-21.0599721272786,229728.659349372,9753370.02532787
1_old_growth,238.963851928711,207.374664306641,-10.5297292073568,229828.659349372,9753370.02532787
1_old_growth,107.445747375488,125.696746826172,6.0836664835612,229928.659349372,9753370.02532787
3_illegal_logging,205.886169433594,172.310684204102,-11.1918284098307,230028.659349372,9753370.02532787
3_illegal_logging,128.192977905273,68.3581085205078,-19.9449564615885,230128.659349372,9753370.02532787
1_old_growth,186.556915283203,197.519821166992,3.65430196126302,230228.659349372,9753370.02532787
1_old_growth,158.091094970703,155.897689819336,-0.731135050455729,230328.659349372,9753370.02532787
1_old_growth,167.90983581543,192.576461791992,8.22220865885417,230428.659349372,9753370.02532787
1_old_growth,221.4423828125,233.826950073242,4.12818908691406,230528.659349372,9753370.02532787
1_old_growth,194.900268554688,207.109786987305,4.06983947753906,230628.659349372,9753370.02532787
1_old_growth,110.412796020508,134.781051635742,8.12275187174479,230728.659349372,9753370.02532787
1_old_growth,144.877334594727,165.193984985352,6.772216796875,230828.659349372,9753370.02532787
3_illegal_logging,184.708633422852,220.334213256836,11.8751932779948,230928.659349372,9753370.02532787
1_old_growth,151.53434753418,178.210678100586,8.89211018880208,231028.659349372,9753370.02532787
3_illegal_logging,157.988174438477,171.564590454102,4.52547200520833,231128.659349372,9753370.02532787
1_old_growth,160.823257446289,165.129409790039,1.43538411458333,231228.659349372,9753370.02532787
1_old_growth,181.52653503418,138.019195556641,-14.502446492513,231328.659349372,9753370.02532787
1_old_growth,206.641738891602,219.99641418457,4.45155843098958,231428.659349372,9753370.02532787
3_illegal_logging,154.367279052734,158.263122558594,1.29861450195312,231528.659349372,9753370.02532787
1_old_growth,199.674468994141,218.994369506836,6.4399668375651,231628.659349372,9753370.02532787
1_old_growth,120.065567016602,148.809265136719,9.58123270670573,231728.659349372,9753370.02532787
1_old_growth,132.615631103516,113.626876831055,-6.32958475748698,231828.659349372,9753370.02532787
1_old_growth,155.449890136719,71.8474273681641,-27.8674875895182,231928.659349372,9753370.02532787
1_old_growth,17.1615371704102,15.6705188751221,-0.497006098429362,222928.659349372,9753470.02532787
1_old_growth,152.850845336914,164.041137695312,3.73009745279948,223028.659349372,9753470.02532787
1_old_growth,140.430450439453,163.818923950195,7.79615783691406,223128.659349372,9753470.02532787
1_old_growth,175.112716674805,198.368209838867,7.7518310546875,223228.659349372,9753470.02532787
1_old_growth,169.419403076172,199.253997802734,9.94486490885417,223328.659349372,9753470.02532787
1_old_growth,138.841918945312,129.162933349609,-3.22632853190104,223428.659349372,9753470.02532787
1_old_growth,166.418685913086,141.206848144531,-8.40394592285156,223528.659349372,9753470.02532787
1_old_growth,183.451461791992,192.779403686523,3.10931396484375,223628.659349372,9753470.02532787
1_old_growth,151.16130065918,165.183776855469,4.67415873209635,223728.659349372,9753470.02532787
1_old_growth,140.640151977539,165.718002319336,8.35928344726562,223828.659349372,9753470.02532787
1_old_growth,152.552108764648,156.428161621094,1.2920176188151,223928.659349372,9753470.02532787
1_old_growth,162.16877746582,196.695190429688,11.5088043212891,224028.659349372,9753470.02532787
1_old_growth,204.236801147461,103.602630615234,-33.5447235107422,224128.659349372,9753470.02532787
1_old_growth,213.601776123047,169.644012451172,-14.652587890625,224228.659349372,9753470.02532787
1_old_growth,187.423141479492,230.119400024414,14.2320861816406,224328.659349372,9753470.02532787
1_old_growth,182.323577880859,208.429229736328,8.70188395182292,224428.659349372,9753470.02532787
1_old_growth,135.473892211914,134.388229370117,-0.361887613932292,224528.659349372,9753470.02532787
1_old_growth,176.408569335938,174.171661376953,-0.745635986328125,224628.659349372,9753470.02532787
1_old_growth,165.625091552734,172.025604248047,2.13350423177083,224728.659349372,9753470.02532787
1_old_growth,178.595886230469,82.3211441040039,-32.0915807088216,224828.659349372,9753470.02532787
1_old_growth,173.096618652344,149.38916015625,-7.90248616536458,224928.659349372,9753470.02532787
1_old_growth,161.063720703125,150.33903503418,-3.57489522298177,225028.659349372,9753470.02532787
1_old_growth,149.214813232422,84.8160781860352,-21.4662450154622,225128.659349372,9753470.02532787
1_old_growth,200.604385375977,142.884155273438,-19.2400767008464,225228.659349372,9753470.02532787
3_illegal_logging,191.747009277344,222.325729370117,10.1929066975911,225328.659349372,9753470.02532787
1_old_growth,200.751510620117,211.375350952148,3.54128011067708,225428.659349372,9753470.02532787
1_old_growth,191.052642822266,139.540740966797,-17.1706339518229,225528.659349372,9753470.02532787
1_old_growth,218.62939453125,133.369506835938,-28.4199625651042,225628.659349372,9753470.02532787
1_old_growth,149.270065307617,175.929550170898,8.88649495442708,225728.659349372,9753470.02532787
1_old_growth,196.002105712891,202.771057128906,2.25631713867188,225828.659349372,9753470.02532787
1_old_growth,236.0634765625,254.789489746094,6.24200439453125,225928.659349372,9753470.02532787
1_old_growth,258.377563476562,120.290893554688,-46.0288899739583,226028.659349372,9753470.02532787
1_old_growth,184.436386108398,163.508682250977,-6.97590128580729,226128.659349372,9753470.02532787
1_old_growth,174.880920410156,225.254974365234,16.7913513183594,226228.659349372,9753470.02532787
